id,title,content,date,source,url,category
18,NDC ‘53~61%’에 탈석탄동맹 가입… 숙제로 남은 ‘구체성’,"2035 NDC의 경우 기후부는 발표와 함께 “후속 조치로 태양광, 풍력, 전력망, 에너지 저장 체계(ESS), 전기차, 배터리, 히트펌프 등 녹색산업 육성을 위한 세부 추진과제를 담은 K-GX를 관계부처, 산업계 등과 함께 내년... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/022/0004084622?sid=102,전기차
19,"하이브리드·전기·수소차 부품 확대... SJG세종, 수익성 큰 폭 개선","또한, 수소차와 전기차 등 기타 제품 매출은 전년 대비 23.7% 증가했다. 수익성 측면에서도 긍정적 신호가... 글로벌 대부분 지역에서 안정적인 매출 성장이 지속될 것으로 예상되며, 하이브리드카, 전기차, 수소차... ",2025-11-22,Naver,https://www.pinpointnews.co.kr/news/articleView.html?idxno=398333,전기차
20,[시경Today-자동차] 기아 텔루라이드 하이브리드 첫선,"캐스퍼 일렉트릭은 앞서 '2025 세계 올해의 전기차'에 선정되며 상품성을 입증한 바 있다. 스타필드 하남서 진행된 '혼다 뉴 CR-V 하이브리드 익스피리언스 위크' 이벤트 현장. 사진=혼다 혼다코리아, CR-V 하이브리드... ",2025-11-22,Naver,https://www.meconomynews.com/news/articleView.html?idxno=123629,전기차
21,"서울경제진흥원, '국가안전경영대상'으로 공공기관 안전모델 입증",서울경제진흥원은 중대재해처벌법·산업안전보건법 기반의 안전보건 전담 조직을 중심으로 ▲안전보건경영시스템(ISO45001) 인증 유지 ▲행사 안전관리 체계 강화 ▲현장 근로자 안전아이디어 공모제 운영 ▲전기차... ,2025-11-22,Naver,https://www.newswhoplus.com/news/articleView.html?idxno=46730,전기차
22,권영수 “K배터리 ESS에 베팅해야”…테슬라·AI가 가져온 ‘골든타임’...,※하단에 있는 ‘김기혁의 테슬라월드’를 구독하시면 테슬라와 일론 머스크가 추진하는 전기차·로봇·AI... 최근 LG엔솔과 테슬라 간 협력 관계는 전기차에 이어 에너지저장장치(ESS) 분야까지 확대되고 있는데요.... ,2025-11-22,Naver,https://n.news.naver.com/mnews/article/011/0004558897?sid=101,전기차
23,"리본카, 25일까지 타임딜 프로모션 진행","리본카는 행사 기간 패밀리카로 꾸준히 인기 있는 기아 카니발, 중고차 시장의 스테디셀러 현대차 그랜저, 글로벌 시장에서 인기가 지속되고 있는 전기차 현대차 아이오닉 5 등 인기 모델을 중심으로 직영인증중고차... ",2025-11-22,Naver,https://www.econovill.com/news/articleView.html?idxno=719404,전기차
24,“미 현대차-LG엔솔 공장 구금 한국인 근로자 재입국 현장 복귀”,미국 조지아주 엘라벨 소재 현대자동차그룹 전기차 공장에서 직원들이 호송되고 있다.(사진=뉴시스) ABC방송은 21일(현지시각) 한국인 근로자 김모 씨를 인용해 조지아주에서 구금된 후 자진 귀국한 한국인 근로자 중... ,2025-11-22,Naver,http://www.newstomato.com/ReadNews.aspx?no=1282538&inflow=N,전기차
25,"기보, 지식재산공제 가입기업 '2만개사 돌파' 증정식 가져","2만 번째 가입기업인 ㈜세상을바꾸는사람들은 경기도 안양에 위치한 AI 기반 전기차 충전시스템 전문기업으로, 김진우 대표이사는 &quot;지식재산 분쟁 등 예기치 못한 경영 리스크에 대비하기 위해 가입했다&quot;며, &quot;향후... ",2025-11-22,Naver,https://www.getnews.co.kr/news/articleView.html?idxno=850267,전기차
26,"폭스콘, 오픈AI 서버 제작 계약...엔비디아와는 대만 데이터센터 구축","최근에는 AI 서버 분야뿐 아니라 로봇, 스마트팩토리, 전기차 등 미래 제조 기술 전반에서 공격적인... 또, 일본 시장 공략을 위해 신규 전기차 '모델 A(Model A)'를 공개하며 모빌리티 사업 확대에도 속도를 내고 있다.... ",2025-11-22,Naver,https://www.aitimes.com/news/articleView.html?idxno=204181,전기차
27,"김천시, 2026년도 예산안 1조 4320억 원 편성","이어, ▲김천1일반산업단지 4단계 조성사업 577억 원, ▲김천사랑상품권 발행 62.4억 원, ▲소상공인 특례보증 사업 29억 원, ▲전기차 전환 통합 안전 기술개발 40억 원 등을 편성하여 지역경제에 생기를 불어넣고, 미래... ",2025-11-22,Naver,https://www.sentv.co.kr/article/view/sentv202511220006,전기차
28,"마우저, TE 커넥티비티 75만종 부품 공급…차세대 고속 커넥터·EMC 솔루...",기존 석유 기반 부품을 대체하면서도 동일 수준의 전기 절연 및 장력완화 성능을 제공해 내연기관 및 전기차(EV) 분야 모두에서 친환경 전장부품 수요 증가에 부합한다. 고주파·고속 차량 네트워크를 구성하는... ,2025-11-22,Naver,https://www.hellot.net/news/article.html?no=107427,전기차
29,"美증시, 주말 앞두고 반등..연준 고위 간부 &quot;금리인하 여지 있어&quot;","종목별로 전기차는 테슬라가 1% 하락한 데 비해 리비안은 1.36% 상승하는 등 혼조세를 보였다. 반도체주는 엔비디아가 0.97% 하락했지만, 다른 반도체주가 대부분 반등하면서 반도체지수는 0.86% 상승, 마감했다. 미국의... ",2025-11-22,Naver,https://www.smarttoday.co.kr/news/articleView.html?idxno=96935,전기차
30,"더 빨리, 더 많이… 한국식 '밤샘' 물류 시스템은 기후 악당[초록發光]",쿠팡은 유통단계 감축을 통해 친환경 물류체계 구축하고 전기차 통합 배송센터 확대나 재사용 포장재 등을... '친환경 포장'과 '전기차 배송센터 확대'라는 홍보 문구와 달리 기후 책임의 기반인 데이터 공개와 검증... ,2025-11-22,Naver,https://n.news.naver.com/mnews/article/002/0002415590?sid=102,전기차
31,"광명시, 대한민국 지자체 홍보대상 수상...정책·행정 혁신 분야","또한 시민햇빛발전소 건립, 그린리모델링, 전기차 공유서비스, 공유자전거 '광명이' 등 생활 속 에너지 자립을 위한 사업을 지속적으로 추진하며 선도적인 탄소중립 정책을 추진한 점에서도 높은 평가를 받았다. 아울러 2050... ",2025-11-22,Naver,https://www.gukjenews.com/news/articleView.html?idxno=3435333,전기차
32,"솔리비스, 연 42t 규모 ‘고체전해질 횡성 제1공장’ 준공… K-전고체 배...","신동욱 대표는 “본격 양산을 통해 '꿈의 배터리'로 불리는 전고체전지 대중화가 크게 앞당겨질 것&quot;이라며 “전기차, AI 로봇, ESS 등 차세대 시장의 핵심 소재 기업으로 도약하겠다&quot;고 말했다. 솔리비스가 이날 문을 연... ",2025-11-22,Naver,https://www.ekn.kr/web/view.php?key=20251122023180126,전기차
33,[시승기] ‘최고의 아빠차’ 현대차 팰리세이드 하이브리드,"현대차는 신형 팰리세이드에 실내 V2L, 스테이 모드 등 기능을 추가해 전기차에서 누릴 수 있었던 편의 기술을 하이브리드차에서도 경험할 수 있게 했다. 큰 차체를 지녔음에도 고속 주행 안정감이 뛰어나... ",2025-11-22,Naver,https://www.ekn.kr/web/view.php?key=20251121025049967,전기차
34,잊을 만하면 차량 돌진⋯전통시장 위험 노출 ‘어쩌나’,현장에서 후진하는 1톤 트럭 전기차에 시장을 찾은 고객이 치일 뻔한 아찔한 상황이 연출되기도 했다. C시장은 폭이 넓은 일부 구간으로만 차가 자유롭게 지나다녔다. 이 구간을 제외하고는 양쪽과 가운데 구간까지... ,2025-11-22,Naver,https://www.jjan.kr/article/20251122500014,전기차
35,중국 &quot;반도체 EUV 생태계 구축 '중요한 성과'&quot;,"14나노 칩은 최첨단 공정은 아니지만 성능·비용·효율 면에서 여전히 경쟁력이 높아 산업 자동화, 전기차, 스마트 웨어러블 등 주요 분야의 핵심 부품으로 활용되고 있다. SCMP에 따르면 중국 안후이성 허페이의... ",2025-11-22,Naver,http://www.choicenews.co.kr/news/articleView.html?idxno=157130,전기차
36,[심층] 9달째 대구 고용률 전국 최하위···&quot;정치권의 산업 구조 전환 ...,"특히, 지역 경제의 주요 기반인 자동차 기계 부품 분야는 글로벌 전기차 시대로의 전환이라는 거대한 흐름... 정치권과 행정이 협력하여 구미 등 인근 지역과의 연계를 통해 새로운 산업 비전을 확립하고, 전기차 전환... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/657/0000045272?sid=004,전기차
37,생수를 만든 수입차 브랜드… 이유를 들어보면 납득이 된다,전기차 브랜드 폴스타가 글로벌 식품 전처리 및 포장 기술 기업 테트라팩 코리아와 손잡고 국내 자동차 업계 최초로 브랜딩이 적용된 종이팩 생수를 제작했다. 폴스타코리아는 이전까지 재사용 가능한 유리병 생수를... ,2025-11-22,Naver,https://www.wikitree.co.kr/articles/1096730,전기차
38,"테슬라, 기업 광고 붙인 슈퍼차저 첫선…머스크式 외연 확장","기업들이 슈퍼차저를 구매해 사업장 내 전기차 충전소를 마련하면 모든 유지 관리와 각종 문제 해결은 테슬라가 맡는 이원화 방식을 채택했다. 기업들은 사업장 내 전기차 운전자들을 유치할 수 있고, 테슬라... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/117/0004010983?sid=103,전기차
39,"현대차 아이오닉9, 성능·안전성·공간 ‘압도적’ [스마트 EV 대상 수상...","올해로 5회를 맞은 본 시상은 국내 전기차 산업의 성장성과 기술력을 점검하고, 소비자와 업계가 함께 만들어가는 지속 가능한 전기차 생태계를 조망하기 위해 마련됐습니다. 이번 평가에는 국내 출시된 순수 전기차... ",2025-11-22,Naver,https://www.etoday.co.kr/news/view/2528120,전기차
40,"[고래사냥] '에스비비테크,대원전선, 태성, 대웅!' 오늘 장 궁금종목 분...",원전· 전기차 수요 확대에 전선 수요 ↑- 한국전력· KT· 기아· 현대차에 전력 케이블 공급- 최대주주... 중국 전기차사와 복합동박장비 계약 논의… 매출 1조 목표- 국내 대기업과 해외 배터리사에 복합동박소재... ,2025-11-22,Naver,https://news.mtn.co.kr/news-detail/2025112209491564854,전기차
41,카카오 다이어트 &quot;문어발 오명 벗고 AI 올인&quot;,SK그룹은 전기차 캐즘(일시적 수요 정체)에 대응해 배터리 및 소재 사업의 효율화에 나섰다. SK는 최근 3개월간 실리콘 음극재 사업을 하던 얼티머스와 SK머티리얼즈그룹포틴을 정리하고 전기차 충전 사업자인 SK일렉링크... ,2025-11-22,Naver,https://www.econovill.com/news/articleView.html?idxno=719399,전기차
42,"LG 엔솔 46시리즈 배터리, 글로벌 전기차 제조사 관심 집중… 주문 지속...","세계 전기차(EV) 제조사들의 관심을 끌며 지속적으로 주문을 획득하고 있다. 대량 생산과 일관된 품질을... 이는 약 12만 대의 전기차를 구동할 수 있는 용량으로, 전통적으로 자동차 제조사들이 국내 배터리... ",2025-11-22,Naver,https://www.g-enews.com/view.php?ud=2025112209320276290c8c1c064d_1,전기차
43,뉴욕 연준 총재 &quot;금리인하 여지있다&quot;…미증시 일제 랠리,"종목별로 전기차는 테슬라가 1% 하락한 데 비해 리비안은 1.36% 상승하는 등 혼조세를 보였다. 반도체주는 엔비디아가 0.97% 하락했지만, 다른 반도체주가 대부분 랠리, 반도체지수는 0.86% 상승, 마감했다. 미국의 유명... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/469/0000898948?sid=104,전기차
44,"테트라팩 코리아, 폴스타 코리와 협업 생수 '폴스타워터' 공개",테트라팩 코리아가 스웨덴 프리미엄 전기차 브랜드 폴스타 코리아와 손잡고 국내 자동차 업계 최초로 커스텀 디자인된 종이팩 생수 '폴스타워터'를 선보인다고 밝혔다. 사진=테트라팩 코리아 이번 협업은 스웨덴을... ,2025-11-22,Naver,https://www.slist.kr/news/articleView.html?idxno=696047,전기차
45,AI로 재편되는 리스·할부금융…&quot;디지털 전환 없인 생존 어려워&quot;,경기 둔화와 고금리에도 전기차와 재생에너지 투자 확대가 시장 성장을 지지하는 가운데 금융사는 운영... 친환경 설비금융 수요가 빠르게 늘고 전기차·배터리·재생에너지 등 그린에셋(Green Asset) 중심의 자산... ,2025-11-22,Naver,https://news.mtn.co.kr/news-detail/2025112115102235973,전기차
46,"광명시, 대한민국 지자체 홍보대상 수상","또한 시민햇빛발전소 건립, 그린리모델링, 전기차 공유서비스, 공유자전거 '광명이' 등 생활 속 에너지 자립을 위한  탄소중립 정책을 추진하고, 2050 탄소중립도시 선언, 탄소중립 국제포럼 개최 등 국내외 지방정부... ",2025-11-22,Naver,http://www.joygm.com/news/articleView.html?idxno=214785,전기차
47,"'멀티 패스웨이' 뭐길래…유연함 통했다[토요타, 생존의 기술②]","전기차 수요 둔화와 미국 관세 영향으로 글로벌 완성차 업체들의 전동화 전략이 흔들리는 가운데, 일본 토요타는 안정적인 흐름을 유지하며 대조적인 모습을 보이고 있다. 전기차 올인 기업들은 재고와 실적 측면에서... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/003/0013615265?sid=101,전기차
48,"삼성전자, 전영현·노태문 '투톱 체제' 복귀 外[금주의 산업계 이슈]","초기 전기차, 타이어 교체 주기…한국타이어 큰 장 노린다 내년부터 전기차 초기 보급 차량이 본격적인 타이어 교체 사이클에 진입한다. 이에 따라 글로벌 타이어 수요도 빠르게 바뀔 전망이다. 타이어 교체 주기가... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/003/0013615261?sid=101,전기차
49,"코드비전, 중기부 주관 ‘중소기업 AI 전환 우수사례 공모전’서 우수상...","이번 수상은 도입기업인 신흥기공(대표 나기원, 윤석재)과 컨소시엄을 구성해 전기차 핵심 부품 제조 공정에 특화된 비전 AI 솔루션을 성공적으로 안착시킨 결과다. 양사가 구축한 시스템은 전기차용 알루미늄... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/215/0001231878?sid=101,전기차
50,[창간 32주년 기획특집] 당진 성장동력 10대 기업,"HDC현대EP의 핵심제품은 복합 PP(폴리프로필렌), PPS, ABS 등 엔지니어링 플라스틱이다.현대자동차, 기아, LG전자 등 국내외 대기업에 공급하며, 특히 전기차 경량화용 소재와 리사이클링 수지 제품을 중점 개발 중이다.... ",2025-11-22,Naver,http://www.djtimes.co.kr/news/articleView.html?idxno=110142,전기차
51,車관세 15% 인하에 불확실성 해소…내년 대미 수출 반등할까,"전기차 수출이 주춤하는 모습을 보였지만 하이브리드(25.4%), 플러그인 하이브리드(12.2%) 수출이 큰 폭으로... 우리나라는 전기차 부문이 앞서고 있다. 글로벌 자동차 산업이 전기차로 전환되는 흐름이기 때문에 우리... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/003/0013615263?sid=101,전기차
52,"SK온, ‘캐즘한파’ 속 가동률 ‘나 홀로 상승’…해외 생산라인 구조개...",전기차 수요 둔화로 가동률이 크게 떨어진 상황 속에서 배터리 업계는 사업 효율성과 재무 건전성을... 배터리 업계에서는 주요 고객사의 재고 조정 등으로 떨어진 가동률을 높이기 위해 전기차용 라인을 ESS용... ,2025-11-22,Naver,https://www.ceoscoredaily.com/page/view/2025112114502041513,전기차
53,"북미 ‘절대강자’… 기아 3열 SUV 텔루라이드, 하이브리드 출시","텔루라이드 외에도 스포티지, 쏘렌토, 카니발, EV9 등 북미 판매 주력 모델 23대를 전시했다. 특히 FoD(Feature on Demand) 기반의 디지털 기능과 전기차 V2H 기술 등을 공개하며 ‘전동화 이후의 카라이프’를 강조했다.",2025-11-22,Naver,https://wemakenews.co.kr/news/view.php?no=23792,전기차
54,"&quot;미래 XRT 비전 담았다&quot;…현대차, 콘셉트카 '크레이터' 세계 최초 공개","아이오닉 6 N은 고성능 사륜구동 시스템과 84kWh의 고출력 배터리를 바탕으로 합산 최고 출력 448㎾(601마력)... 고성능 전기차&quot;라며 &quot;N 브랜드의 3대 철학인 '코너링 악동', '레이스트랙 주행능력', '일상의 스포츠카'를... ",2025-11-22,Naver,https://www.thepublic.kr/news/articleView.html?idxno=284475,배터리
55,배터리 침체 속 'AI소재 이동' 본격화 나선 화학업계,SNE리서치에 따르면 올해 1~8월 한국 배터리 3사(LG에너지솔루션·SK온·삼성SDI)의 글로벌 전기차용 배터리 사용량 점유율은 전년 동기 대비 3.8%포인트 떨어진 16.8%였다. 반면 1~9월 누적 반도체 수출액은 1197억 달러로... ,2025-11-22,Naver,https://n.news.naver.com/mnews/article/008/0005281697?sid=101,배터리
56,캐즘에도 R&amp;D 늘린 배터리 3사···CATL에는 못 미쳐,"중국에서 고급 전기차 수요가 커지면서 CATL의 NCM 배터리도 덩달아 판매량이 늘고 있는 것이다. SNE리서치 관계자는 &quot;한국이 향후 경쟁력을 유지하기 위해서는 핵심소재 내재화, 지역별 차별화, 정책 일관성... ",2025-11-22,Naver,https://www.sisajournal-e.com/news/articleView.html?idxno=417210,배터리
57,"배터리로 흔들린 테슬라, FSD로 韓 시장 승부수 [테슬라 자율주행 오나...","BMS는 전기차 배터리의 ▲충·방전 ▲온도 ▲셀 간 전압 밸런스를 실시간으로 제어하는 핵심 장치로, 오류가 발생하면 배터리 손상을 방지하기 위해 최대 충전 용량을 제한하는 ‘보호 모드’가 작동한다. 국내 테슬라... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/243/0000088431?sid=103,배터리
58,휴머노이드-완전자율주행 시대…AI가 배터리 '판' 키운다,"이 경우 캐즘(Chasm, 일시적 수요둔화)에 시달려온 전기차·배터리 업계가 반등하는 계기가 마련될 수 있다. 완전자율주행 시대는 점점 현실로 다가오고 있다는 평가다. 미국 샌프란시스코, 오스틴, 로스앤젤레스... ",2025-11-22,Naver,https://n.news.naver.com/mnews/article/008/0005281685?sid=101,배터리
59,삼성SDI의 수성? LG엔솔의 반격?… 1조 규모 ESS 중앙계약 2차전 승자는,SK온은 충남 서산에 있는 전기차용 배터리 공장에서 ESS용 LFP 파우치 배터리에 대한 양산성 검증을 진행했다. 국내에서 ESS용 LFP 배터리를 생산하기 위한 기반 작업을 한 것이다. 1차 입찰 때와 달리 비가격 평가... ,2025-11-22,Naver,https://n.news.naver.com/mnews/article/366/0001125080?sid=101,배터리
60,"BYD코리아, 소형 전기차 '돌핀' 신규 인증. 기존 액티브와 차이점은?","9kWh 블레이드 배터리가 탑재됐다. 이를 통해 상온 복합 기준 307km(도심 336km, 고속 272km), 저온 복합... 앞서 지난 10월 인증받은 돌핀 액티브의 경우, 204마력으로 더욱 강력한 성능을 발휘하며, 배터리 역시... ",2025-11-22,Naver,https://www.autodaily.co.kr/news/articleView.html?idxno=539162,배터리
